Rank,Title,url,Votes_10,Votes_9,Votes_8,Votes_7,Votes_6,Votes_5,Votes_4,Votes_3,Votes_2,Votes_1,Votes_M,Votes_F,AvgRating_M,AvgRating_F
84,1917,https://www.imdb.com/title/tt8579674/,68925,107751,110463,51763,15946,5214,2013,1176,770,1879,209423,32210,8.3,8.3
88,The Hunt,https://www.imdb.com/title/tt2106476/,41745,79443,91055,37994,10339,3945,1913,954,842,1855,168329,39064,8.3,8.3
89,A Separation,https://www.imdb.com/title/tt1832382/,63369,50788,52744,26801,8931,4157,2040,1092,877,3608,135480,30758,8.3,8.2
90,Incendies,https://www.imdb.com/title/tt1255953/,26969,41045,43658,18601,5735,2475,1185,805,724,1752,90072,19781,8.2,8.4
91,7 Kogustaki Mucize,https://www.imdb.com/title/tt10431500/,10061,6592,6461,3302,1283,534,242,144,100,308,14782,4025,8.2,8.5
92,Babam ve Oglum,https://www.imdb.com/title/tt0476735/,29111,15720,14354,7922,3217,1691,1088,486,476,2107,44361,10167,8.3,8.5
93,Toy Story 3,https://www.imdb.com/title/tt0435761/,163416,180219,205045,115142,40879,15599,6652,3734,2645,7172,448926,113397,8.3,8.2
94,Inglourious Basterds,https://www.imdb.com/title/tt0361748/,243689,357936,349811,159886,55917,23329,12034,7727,5863,15444,775508,150776,8.3,8.3
95,Eternal Sunshine of the Spotless Mind,https://www.imdb.com/title/tt0338013/,212492,236189,228474,118716,44918,19228,9803,5981,4508,10796,524612,160752,8.3,8.3
96,Amélie,https://www.imdb.com/title/tt0211915/,179948,175322,167340,90747,34424,15262,7851,4904,3852,11459,381605,147959,8.2,8.5
97,Snatch,https://www.imdb.com/title/tt0208092/,150981,212141,234654,107064,33595,12253,5814,3170,2356,5294,521500,73873,8.3,8.1
98,Requiem for a Dream,https://www.imdb.com/title/tt0180093/,177467,202458,190889,95279,36842,16906,8962,5747,4465,10299,460448,117902,8.3,8.3
99,American Beauty,https://www.imdb.com/title/tt0169547/,235355,286932,281314,139889,50178,21361,10569,6563,5308,12610,627369,169433,8.4,8.1
100,Good Will Hunting,https://www.imdb.com/title/tt0119217/,161824,231079,267319,118326,33917,11871,5265,2769,1988,4221,503768,120306,8.3,8.2
101,Children of Heaven,https://www.imdb.com/title/tt0118849/,15435,14964,16936,8333,2903,1456,835,323,363,925,35398,8423,8.3,8.5
102,Toy Story,https://www.imdb.com/title/tt0114709/,177213,214826,273449,129117,39947,14781,5922,3165,2139,4959,504454,131008,8.3,8.2
103,Braveheart,https://www.imdb.com/title/tt0112573/,238408,242301,244050,125535,45407,19228,9133,5584,4031,8786,606660,105217,8.4,8.0
104,Reservoir Dogs,https://www.imdb.com/title/tt0105236/,161225,257286,277971,126284,38659,14607,7016,4248,3217,7097,584274,82662,8.3,8.2
105,Full Metal Jacket,https://www.imdb.com/title/tt0093058/,110017,183617,214768,99437,29161,10173,4413,2397,1581,3474,446606,47854,8.3,8.1
106,Come and See,https://www.imdb.com/title/tt0091251/,15204,11953,12926,6786,2699,1393,718,510,445,1889,36056,3961,8.3,8.3
107,Aliens,https://www.imdb.com/title/tt0090605/,148859,167209,178318,89558,30266,11807,5203,2753,1937,4276,428897,53372,8.4,8.1
108,Amadeus,https://www.imdb.com/title/tt0086879/,81551,92436,101094,52125,17629,7235,3344,1728,1198,3098,217003,55501,8.3,8.3
